,Restro_name,Branch_Name,Branch_url
47,Truffles                                    ,St. Marks Road,https://www.zomato.com/bangalore/truffles-st-marks-road?context=eyJzZSI6eyJlIjpbIjUxMDQwIiwiMTg2MzE4MzkiLDUxMDM4LCI1MTAzOSIsIjYwNDQ5Il0sInQiOiJUcnVmZmxlcywgQmVuZ2FsdXJ1In19
48,Truffles                                    ,New BEL Road,https://www.zomato.com/bangalore/truffles-new-bel-road?context=eyJzZSI6eyJlIjpbIjUxMDQwIiwiMTg2MzE4MzkiLCI1MTAzOCIsNTEwMzksIjYwNDQ5Il0sInQiOiJUcnVmZmxlcywgQmVuZ2FsdXJ1In19
49,Truffles                                    ,St. Marks Road,https://www.zomato.com/bangalore/truffles-2-st-marks-road?context=eyJzZSI6eyJlIjpbIjUxMDQwIiwiMTg2MzE4MzkiLCI1MTAzOCIsIjUxMDM5Iiw2MDQ0OV0sInQiOiJUcnVmZmxlcywgQmVuZ2FsdXJ1In19
50,Taaza Thindi                                    ,Jayanagar,https://www.zomato.com/bangalore/taaza-thindi-jayanagar?context=eyJzZSI6eyJlIjpbNTg1NzYsIjE4MzU5MjA1Il0sInQiOiJUYWF6YSBUaGluZGksIEJlbmdhbHVydSJ9fQ==
51,Taaza Thindi                                    ,Banashankari,https://www.zomato.com/bangalore/taaza-thindi-banashankari?context=eyJzZSI6eyJlIjpbIjU4NTc2IiwxODM1OTIwNV0sInQiOiJUYWF6YSBUaGluZGksIEJlbmdhbHVydSJ9fQ==
52,Chianti                                    ,Indiranagar,https://www.zomato.com/bangalore/chianti-2-indiranagar?context=eyJzZSI6eyJlIjpbNTkzMzMsIjUzMjExIiwiMTg3NDE4OTIiLCIxODU4ODEyMSIsIjE4NjAzODM1Il0sInQiOiJDaGlhbnRpLCBCZW5nYWx1cnUifX0=
53,Chianti                                    ,Koramangala 5th Block,https://www.zomato.com/bangalore/chianti-koramangala-5th-block?context=eyJzZSI6eyJlIjpbIjU5MzMzIiw1MzIxMSwiMTg3NDE4OTIiLCIxODU4ODEyMSIsIjE4NjAzODM1Il0sInQiOiJDaGlhbnRpLCBCZW5nYWx1cnUifX0=
54,Chianti                                    ,MG Road,https://www.zomato.com/bangalore/chianti-mg-road-bangalore?context=eyJzZSI6eyJlIjpbIjU5MzMzIiwiNTMyMTEiLDE4NzQxODkyLCIxODU4ODEyMSIsIjE4NjAzODM1Il0sInQiOiJDaGlhbnRpLCBCZW5nYWx1cnUifX0=
55,Chianti                                    ,"Ascendas Park Square, Whitefield",https://www.zomato.com/bangalore/chianti-whitefield?context=eyJzZSI6eyJlIjpbIjU5MzMzIiwiNTMyMTEiLCIxODc0MTg5MiIsMTg1ODgxMjEsIjE4NjAzODM1Il0sInQiOiJDaGlhbnRpLCBCZW5nYWx1cnUifX0=
56,Chianti                                    ,Bannerghatta Road,https://www.zomato.com/bangalore/chianti-bannerghatta-road?context=eyJzZSI6eyJlIjpbIjU5MzMzIiwiNTMyMTEiLCIxODc0MTg5MiIsIjE4NTg4MTIxIiwxODYwMzgzNV0sInQiOiJDaGlhbnRpLCBCZW5nYWx1cnUifX0=
