,Restro_name,Restro_link,Avg_rating,Location
10,Big Wong XL,https://www.zomato.com/bangalore/big-wong-xl-koramangala-5th-block?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiMTg1Mzc1ODUiLDE4NjEyMzQ4LCIxODQzOTYzNCIsIjUwNDYyIiwxODU5NDkzNywiMTg2NzU0NTkiLCI1OTQ0NiIsIjUzODcyIiwiNTQwNDQiLCIxODIyNDY1MCIsNTQxNjIsIjE4NDc5MTk5IiwiMTg0MzA3ODUiLCIxODYxNDEwNiIsIjYxMTExIl0sInQiOiJCZW5nYWx1cnUmIzAzOTtzIEZpbmVzdCAifX0=,4.5,"Koramangala 5th Block, Bangalore"
11,Shakes Theory,https://www.zomato.com/bangalore/shakes-theory-1-jayanagar-bangalore?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsxODYxMjM0OCwiMTg0Mzk2MzQiLCI1MDQ2MiIsIjE4NTk0OTM3IiwxODY3NTQ1OSwiNTk0NDYiLCI1Mzg3MiIsIjU0MDQ0IiwiMTgyMjQ2NTAiLDU0MTYyLCIxODQ3OTE5OSIsIjE4NDMwNzg1IiwiMTg2MTQxMDYiLCI2MTExMSIsIjE4NzY3ODk3Il0sInQiOiJCZW5nYWx1cnUmIzAzOTtzIEZpbmVzdCAifX0=,4.6,"Jayanagar, Bangalore"
12,Hakuna Matata,https://www.zomato.com/bangalore/hakuna-matata-jp-nagar?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiMTg0Mzk2MzQiLCI1MDQ2MiIsIjE4NTk0OTM3IiwiMTg2NzU0NTkiLDU5NDQ2LCI1Mzg3MiIsIjU0MDQ0IiwiMTgyMjQ2NTAiLDU0MTYyLCIxODQ3OTE5OSIsIjE4NDMwNzg1IiwiMTg2MTQxMDYiLCI2MTExMSIsIjE4NzY3ODk3IiwiMTg2Mjg4OTciXSwidCI6IkJlbmdhbHVydSYjMDM5O3MgRmluZXN0ICJ9fQ==,4.5,"JP Nagar, Bangalore"
13,Windmills Craftworks,https://www.zomato.com/bangalore/windmills-craftworks-whitefield?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiNTA0NjIiLCIxODU5NDkzNyIsIjE4Njc1NDU5IiwiNTk0NDYiLDUzODcyLCI1NDA0NCIsIjE4MjI0NjUwIiw1NDE2MiwiMTg0NzkxOTkiLCIxODQzMDc4NSIsIjE4NjE0MTA2IiwiNjExMTEiLCIxODc2Nzg5NyIsIjE4NjI4ODk3IiwiMTg2NjkyNzEiXSwidCI6IkJlbmdhbHVydSYjMDM5O3MgRmluZXN0ICJ9fQ==,4.7,"Windmills Craftworks, Bangalore"
14,The Hole in the Wall Cafe,https://www.zomato.com/bangalore/the-hole-in-the-wall-cafe-koramangala-4th-block?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiMTg1OTQ5MzciLCIxODY3NTQ1OSIsIjU5NDQ2IiwiNTM4NzIiLDU0MDQ0LCIxODIyNDY1MCIsNTQxNjIsIjE4NDc5MTk5IiwiMTg0MzA3ODUiLCIxODYxNDEwNiIsIjYxMTExIiwiMTg3Njc4OTciLCIxODYyODg5NyIsIjE4NjY5MjcxIiwiMTg3NjI2OTkiXSwidCI6IkJlbmdhbHVydSYjMDM5O3MgRmluZXN0ICJ9fQ==,4.6,"Koramangala 4th Block, Bangalore"
15,Brik Oven,https://www.zomato.com/bangalore/brik-oven-church-street?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiMTg2NzU0NTkiLCI1OTQ0NiIsIjUzODcyIiwiNTQwNDQiLDE4MjI0NjUwLDU0MTYyLCIxODQ3OTE5OSIsIjE4NDMwNzg1IiwiMTg2MTQxMDYiLCI2MTExMSIsIjE4NzY3ODk3IiwiMTg2Mjg4OTciLCIxODY2OTI3MSIsIjE4NzYyNjk5IiwiNTUwNTAiXSwidCI6IkJlbmdhbHVydSYjMDM5O3MgRmluZXN0ICJ9fQ==,4.6,"Church Street, Bangalore"
16,The Black Pearl,https://www.zomato.com/bangalore/restaurants/the-black-pearl?filterby_collection_id=274852&zrp_bid=0&zrp_pid=14,4.6,2 Outlets ›
17,IceBreakers,https://www.zomato.com/bangalore/icebreakers-koramangala-6th-block?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiNTM4NzIiLCI1NDA0NCIsIjE4MjI0NjUwIiw1NDE2MiwxODQ3OTE5OSwiMTg0MzA3ODUiLCIxODYxNDEwNiIsIjYxMTExIiwiMTg3Njc4OTciLCIxODYyODg5NyIsIjE4NjY5MjcxIiwiMTg3NjI2OTkiLCI1NTA1MCIsNTA3MjIsIjE4NjEwMzgzIl0sInQiOiJCZW5nYWx1cnUmIzAzOTtzIEZpbmVzdCAifX0=,4.5,"Koramangala 6th Block, Bangalore"
18,Communiti,https://www.zomato.com/bangalore/communiti-residency-road?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiNTQwNDQiLCIxODIyNDY1MCIsNTQxNjIsIjE4NDc5MTk5IiwxODQzMDc4NSwiMTg2MTQxMDYiLCI2MTExMSIsIjE4NzY3ODk3IiwiMTg2Mjg4OTciLCIxODY2OTI3MSIsIjE4NzYyNjk5IiwiNTUwNTAiLDUwNzIyLCIxODYxMDM4MyIsIjE4NTc4Nzk4Il0sInQiOiJCZW5nYWx1cnUmIzAzOTtzIEZpbmVzdCAifX0=,4.7,"Residency Road, Bangalore"
19,Firangi Bake,https://www.zomato.com/bangalore/firangi-bake-hosur-road?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiMTgyMjQ2NTAiLDU0MTYyLCIxODQ3OTE5OSIsIjE4NDMwNzg1IiwxODYxNDEwNiwiNjExMTEiLCIxODc2Nzg5NyIsIjE4NjI4ODk3IiwiMTg2NjkyNzEiLCIxODc2MjY5OSIsIjU1MDUwIiw1MDcyMiwiMTg2MTAzODMiLCIxODU3ODc5OCIsIjUyMjE5Il0sInQiOiJCZW5nYWx1cnUmIzAzOTtzIEZpbmVzdCAifX0=,4.5,"Hosur Road, Bangalore"
20,Milano Ice Cream,https://www.zomato.com/bangalore/milano-ice-cream-indiranagar?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOls1NDE2MiwiMTg0NzkxOTkiLCIxODQzMDc4NSIsIjE4NjE0MTA2Iiw2MTExMSwiMTg3Njc4OTciLCIxODYyODg5NyIsIjE4NjY5MjcxIiwiMTg3NjI2OTkiLCI1NTA1MCIsNTA3MjIsIjE4NjEwMzgzIiwiMTg1Nzg3OTgiLCI1MjIxOSIsIjE4NzM5NjMyIl0sInQiOiJCZW5nYWx1cnUmIzAzOTtzIEZpbmVzdCAifX0=,4.9,"Indiranagar, Bangalore"
21,Sea Lions BBQ & Grills,https://www.zomato.com/bangalore/sea-lions-bbq-grills-jayanagar-bangalore?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiMTg0NzkxOTkiLCIxODQzMDc4NSIsIjE4NjE0MTA2IiwiNjExMTEiLDE4NzY3ODk3LCIxODYyODg5NyIsIjE4NjY5MjcxIiwiMTg3NjI2OTkiLCI1NTA1MCIsNTA3MjIsIjE4NjEwMzgzIiwiMTg1Nzg3OTgiLCI1MjIxOSIsIjE4NzM5NjMyIiwxODM0NjM2NV0sInQiOiJCZW5nYWx1cnUmIzAzOTtzIEZpbmVzdCAifX0=,4.7,"Jayanagar, Bangalore"
22,Avista Cafe Pizzeria,https://www.zomato.com/bangalore/avista-cafe-pizzeria-hennur-bangalore?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiMTg0MzA3ODUiLCIxODYxNDEwNiIsIjYxMTExIiwiMTg3Njc4OTciLDE4NjI4ODk3LCIxODY2OTI3MSIsIjE4NzYyNjk5IiwiNTUwNTAiLDUwNzIyLCIxODYxMDM4MyIsIjE4NTc4Nzk4IiwiNTIyMTkiLCIxODczOTYzMiIsMTgzNDYzNjUsIjU4MjY4Il0sInQiOiJCZW5nYWx1cnUmIzAzOTtzIEZpbmVzdCAifX0=,4.6,"Hennur, Bangalore"
23,Zamindar,https://www.zomato.com/bangalore/zamindar-kalyan-nagar-bangalore?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiMTg2MTQxMDYiLCI2MTExMSIsIjE4NzY3ODk3IiwiMTg2Mjg4OTciLDE4NjY5MjcxLCIxODc2MjY5OSIsIjU1MDUwIiw1MDcyMiwiMTg2MTAzODMiLCIxODU3ODc5OCIsIjUyMjE5IiwiMTg3Mzk2MzIiLDE4MzQ2MzY1LCI1ODI2OCIsIjE4Mjg3NDMzIl0sInQiOiJCZW5nYWx1cnUmIzAzOTtzIEZpbmVzdCAifX0=,4.5,"Kalyan Nagar, Bangalore"
24,Rolls & Bowls,https://www.zomato.com/bangalore/rolls-bowls-brookefield-bangalore?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiNjExMTEiLCIxODc2Nzg5NyIsIjE4NjI4ODk3IiwiMTg2NjkyNzEiLDE4NzYyNjk5LCI1NTA1MCIsNTA3MjIsIjE4NjEwMzgzIiwiMTg1Nzg3OTgiLCI1MjIxOSIsIjE4NzM5NjMyIiwxODM0NjM2NSwiNTgyNjgiLCIxODI4NzQzMyIsIjUzNTc5Il0sInQiOiJCZW5nYWx1cnUmIzAzOTtzIEZpbmVzdCAifX0=,4.5,"Brookefield, Bangalore"
25,O.G. Variar & Sons,https://www.zomato.com/bangalore/o-g-variar-sons-rajajinagar?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiMTg3Njc4OTciLCIxODYyODg5NyIsIjE4NjY5MjcxIiwiMTg3NjI2OTkiLDU1MDUwLDUwNzIyLCIxODYxMDM4MyIsIjE4NTc4Nzk4IiwiNTIyMTkiLCIxODczOTYzMiIsMTgzNDYzNjUsIjU4MjY4IiwiMTgyODc0MzMiLCI1MzU3OSIsIjE4NjQ4MDM5Il0sInQiOiJCZW5nYWx1cnUmIzAzOTtzIEZpbmVzdCAifX0=,4.8,"Rajajinagar, Bangalore"
26,Natural Ice Cream,https://www.zomato.com/bangalore/restaurants/natural-ice-cream?filterby_collection_id=274852&zrp_bid=0&zrp_pid=14,4.8,2 Outlets ›
27,Arogya Ahaara,https://www.zomato.com/bangalore/arogya-ahaara-hsr?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiMTg2NjkyNzEiLCIxODc2MjY5OSIsIjU1MDUwIiw1MDcyMiwxODYxMDM4MywiMTg1Nzg3OTgiLCI1MjIxOSIsIjE4NzM5NjMyIiwxODM0NjM2NSwiNTgyNjgiLCIxODI4NzQzMyIsIjUzNTc5IiwiMTg2NDgwMzkiLCIxODU2NDczMSIsIjE4NDU1NTcxIl0sInQiOiJCZW5nYWx1cnUmIzAzOTtzIEZpbmVzdCAifX0=,4.7,"HSR, Bangalore"
28,TBC Sky Lounge,https://www.zomato.com/bangalore/tbc-sky-lounge-hsr?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiMTg3NjI2OTkiLCI1NTA1MCIsNTA3MjIsIjE4NjEwMzgzIiwxODU3ODc5OCwiNTIyMTkiLCIxODczOTYzMiIsMTgzNDYzNjUsIjU4MjY4IiwiMTgyODc0MzMiLCI1MzU3OSIsIjE4NjQ4MDM5IiwiMTg1NjQ3MzEiLCIxODQ1NTU3MSIsIjE4Mzc0NTE3Il0sInQiOiJCZW5nYWx1cnUmIzAzOTtzIEZpbmVzdCAifX0=,4.8,"HSR, Bangalore"
