,Text,Date,Likes
33,"3 billion meals is a remarkable feat!

Happy to have joined the programme organised by the Akshaya Patra Foundation and interact with these wonderful youngsters.<a href=""https://t.co/Elcy7pNBgB"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/Elcy7pNBgB</a>",Feb 11,1.7K
34,"अक्षय पात्र फाउंडेशन के प्रयास, ‘मैं से हम’ तक की यात्रा का सबसे अच्छा उदाहरण है।<a href=""https://t.co/IkVVu0cFlX"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/IkVVu0cFlX</a>",Feb 11,754
35,"Know more about some of the major reforms in the oil and gas sector in India during the last four years.<a href=""https://t.co/yN5PVabR9R"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/yN5PVabR9R</a>",Feb 11,395
36,"Prioritising energy justice.<a href=""https://t.co/sET64EL5KO"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/sET64EL5KO</a>",Feb 11,262
37,"India has taken the lead when it comes to ensuring equality in energy access. 

We are also hopeful that the problems of energy availability globally will be suitably addressed.<a href=""https://t.co/2ArbUZsSJx"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/2ArbUZsSJx</a>",Feb 11,370
38,"Had the honour of serving food to children in Vrindavan today.<a href=""https://t.co/Fs7esScQZA"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/Fs7esScQZA</a>",Feb 11,3.5K
39,"Deen Dayal Ji emphasised on honesty in public life. Today on his Punya Tithi, BJP is starting a movement <a href=""/hashtag/SamarpanDivas?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>SamarpanDivas</b></a> to further transparency and clean money in politics. Urging you all to donate to the Party. The NaMo App is an easy way to do so. I too made my contribution.<a href=""https://t.co/k5DCukrH4X"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/k5DCukrH4X</a>",Feb 10,676
40,"Thank you Hubballi for the enthusiasm today! <a href=""/BJP4Karnataka"" class=""twitter-atreply pretty-link js-nav"" dir=""ltr"" data-mentioned-user-id=""25123615""><s>@</s><b>BJP4Karnataka</b></a><a href=""https://t.co/zeQSPwmsAh"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/zeQSPwmsAh</a>",Feb 10,544
41,"Karnataka offers the best trailer of a 'Maha Milawat' government. 

Opportunist alliance. 

Decisions taken by a few.

Constant bickering over portfolios. 

Internal fights. 

A helpless CM who becomes a punching bag for all coalition partners. 

Such a Government is disastrous.<a href=""https://t.co/fftntCTpTv"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/fftntCTpTv</a>",Feb 10,448
42,"The people of India trust BJP. 

Our track record shows we can eliminate corruption and end the culture of middlemen roaming the corridors of power.<a href=""https://t.co/YIRD492tq4"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/YIRD492tq4</a>",Feb 10,731
